N,P,K,target
93.63,81.64,121.67,Chili Pepper
95.22,-6.26,70.57,Chili Pepper
39.38,64.33,114.81,Chili Pepper
106.65,75.42,117.39,Chili Pepper
51.04,31.03,143.83,Chili Pepper
17.05,24.43,114.39,Chili Pepper
65.93,70.29,156.27,Chili Pepper
60.19,68.86,119.96,Chili Pepper
70.91,29.67,161.28,Chili Pepper
104.22,44.58,151.1,Chili Pepper
112.63,50.34,138.08,Chili Pepper
74.57,80.23,100.62,Chili Pepper
39.76,105.56,137.05,Chili Pepper
27.39,74.57,105.02,Chili Pepper
23.53,113.48,112.18,Chili Pepper
73.92,76.61,145.57,Chili Pepper
31.1,20.55,150.0,Chili Pepper
61.45,32.52,108.34,Chili Pepper
31.35,33.06,163.4,Chili Pepper
-21.99,63.03,139.79,Chili Pepper
63.78,67.74,112.52,Chili Pepper
101.71,19.11,119.29,Chili Pepper
116.53,-1.2,107.35,Chili Pepper
23.82,71.06,132.19,Chili Pepper
105.32,109.95,140.25,Chili Pepper
25.41,67.52,103.4,Chili Pepper
6.31,48.02,168.64,Chili Pepper
66.55,-18.51,144.03,Chili Pepper
91.48,6.19,85.76,Chili Pepper
49.34,72.17,88.2,Chili Pepper
55.75,25.27,153.43,Chili Pepper
65.16,37.76,121.91,Chili Pepper
95.01,53.85,136.94,Chili Pepper
94.97,11.03,89.28,Chili Pepper
44.27,110.79,156.23,Chili Pepper
47.76,68.18,161.54,Chili Pepper
67.45,-27.22,179.81,Chili Pepper
72.78,66.01,143.56,Chili Pepper
59.12,69.02,127.27,Chili Pepper
71.11,62.36,129.94,Chili Pepper
22.26,54.77,120.45,Chili Pepper
49.77,35.17,88.88,Chili Pepper
53.45,123.73,203.16,Chili Pepper
38.07,75.11,108.04,Chili Pepper
38.23,73.66,124.26,Chili Pepper
64.04,14.69,113.53,Chili Pepper
50.91,-4.48,154.28,Chili Pepper
72.38,79.63,148.28,Chili Pepper
42.62,19.62,184.23,Chili Pepper
21.81,-8.73,116.25,Chili Pepper
31.89,52.01,106.33,Chili Pepper
121.46,13.44,152.62,Chili Pepper
51.25,69.01,137.47,Chili Pepper
73.55,51.16,167.01,Chili Pepper
56.17,85.75,113.16,Chili Pepper
46.8,39.38,108.87,Chili Pepper
75.85,52.94,130.67,Chili Pepper
29.19,63.99,102.78,Chili Pepper
78.23,6.54,174.61,Chili Pepper
46.84,90.64,124.34,Chili Pepper
16.73,68.85,151.6,Chili Pepper
63.9,9.05,91.92,Chili Pepper
24.13,117.09,105.73,Chili Pepper
38.68,53.43,156.27,Chili Pepper
27.63,87.29,129.35,Chili Pepper
54.37,109.76,133.92,Chili Pepper
42.58,90.21,151.89,Chili Pepper
-1.77,42.07,123.92,Chili Pepper
54.78,8.53,129.35,Chili Pepper
58.48,84.28,76.14,Chili Pepper
97.05,93.57,142.45,Chili Pepper
1.57,60.2,160.81,Chili Pepper
38.6,24.21,145.03,Chili Pepper
13.56,70.79,105.96,Chili Pepper
36.06,46.03,134.7,Chili Pepper
110.73,-7.04,88.95,Chili Pepper
78.65,16.14,76.79,Chili Pepper
34.79,18.57,80.14,Chili Pepper
78.12,120.64,115.26,Chili Pepper
52.43,66.15,168.65,Chili Pepper
47.5,36.65,120.32,Chili Pepper
97.6,46.77,123.19,Chili Pepper
98.18,28.09,43.77,Chili Pepper
79.72,43.94,127.18,Chili Pepper
22.23,78.57,134.84,Chili Pepper
29.42,76.7,149.28,Chili Pepper
81.32,59.24,119.49,Chili Pepper
-0.31,40.52,164.42,Chili Pepper
71.04,117.28,115.76,Chili Pepper
62.14,64.34,76.0,Chili Pepper
45.95,68.31,65.93,Chili Pepper
41.37,44.16,97.79,Chili Pepper
43.65,66.85,114.96,Chili Pepper
45.77,93.29,134.1,Chili Pepper
37.38,8.65,78.31,Chili Pepper
35.68,58.54,83.58,Chili Pepper
40.37,76.72,89.86,Chili Pepper
27.15,79.29,154.01,Chili Pepper
6.16,27.63,137.31,Chili Pepper
4.74,48.43,126.52,Chili Pepper
51.47,55.62,161.84,Chili Pepper
45.94,-52.89,120.01,Chili Pepper
101.45,39.49,192.65,Chili Pepper
63.14,15.5,148.35,Chili Pepper
29.61,59.23,128.71,Chili Pepper
58.06,64.56,71.71,Chili Pepper
59.47,37.21,87.11,Chili Pepper
60.52,93.62,138.36,Chili Pepper
51.5,82.17,124.51,Chili Pepper
57.04,-15.21,106.2,Chili Pepper
65.73,21.11,114.96,Chili Pepper
57.4,45.26,65.31,Chili Pepper
94.67,16.1,79.44,Chili Pepper
75.21,94.35,68.89,Chili Pepper
61.59,65.13,128.49,Chili Pepper
92.16,26.26,144.67,Chili Pepper
14.01,83.26,125.76,Chili Pepper
40.8,40.44,155.95,Chili Pepper
94.2,68.96,118.63,Chili Pepper
94.3,38.19,109.75,Chili Pepper
58.71,45.78,80.87,Chili Pepper
-22.87,64.43,174.22,Chili Pepper
96.5,59.71,134.98,Chili Pepper
80.23,63.36,124.57,Chili Pepper
82.62,63.13,86.24,Chili Pepper
105.17,82.23,113.28,Chili Pepper
43.25,45.5,86.6,Chili Pepper
34.44,74.54,116.81,Chili Pepper
-10.1,86.89,76.51,Chili Pepper
45.76,16.33,93.94,Chili Pepper
60.96,145.53,95.37,Chili Pepper
51.37,66.01,179.26,Chili Pepper
56.16,94.61,155.23,Chili Pepper
44.07,6.03,36.05,Chili Pepper
75.14,32.9,134.45,Chili Pepper
132.7,55.33,163.71,Chili Pepper
44.55,90.31,109.66,Chili Pepper
63.18,62.81,124.4,Chili Pepper
30.88,34.13,129.95,Chili Pepper
79.35,52.09,140.22,Chili Pepper
73.06,56.63,99.93,Chili Pepper
116.06,34.36,133.05,Chili Pepper
55.29,44.07,103.14,Chili Pepper
83.58,71.82,164.47,Chili Pepper
68.08,60.36,122.79,Chili Pepper
37.8,71.63,119.41,Chili Pepper
14.13,56.47,89.55,Chili Pepper
73.25,43.09,99.11,Chili Pepper
80.17,60.57,93.94,Chili Pepper
124.53,67.84,108.3,Chili Pepper
67.04,24.08,114.49,Chili Pepper
50.12,73.39,143.32,Chili Pepper
58.88,40.36,99.96,Chili Pepper
13.8,44.3,101.35,Chili Pepper
39.37,54.17,77.71,Chili Pepper
34.29,50.92,50.55,Chili Pepper
73.99,33.12,78.52,Chili Pepper
94.15,74.28,137.44,Chili Pepper
17.44,69.33,77.48,Chili Pepper
64.51,29.16,96.65,Chili Pepper
77.76,52.54,157.64,Chili Pepper
132.64,77.96,143.41,Chili Pepper
81.53,90.64,142.56,Chili Pepper
57.96,77.9,171.88,Chili Pepper
64.66,48.65,104.65,Chili Pepper
69.14,63.23,179.14,Chili Pepper
73.32,12.14,112.6,Chili Pepper
53.94,66.7,111.96,Chili Pepper
81.13,38.55,101.82,Chili Pepper
57.43,38.12,126.83,Chili Pepper
73.98,29.14,143.18,Chili Pepper
-14.84,53.91,139.71,Chili Pepper
72.51,49.45,130.52,Chili Pepper
66.11,125.59,81.68,Chili Pepper
31.23,31.72,78.29,Chili Pepper
43.8,53.69,109.46,Chili Pepper
59.12,57.04,142.45,Chili Pepper
79.97,91.93,102.74,Chili Pepper
39.41,43.92,90.77,Chili Pepper
98.15,31.67,125.1,Chili Pepper
46.78,67.42,85.55,Chili Pepper
97.49,65.47,112.2,Chili Pepper
60.16,50.51,93.28,Chili Pepper
74.79,81.0,138.64,Chili Pepper
66.05,68.21,95.57,Chili Pepper
51.81,48.17,103.57,Chili Pepper
51.99,1.89,109.26,Chili Pepper
90.67,43.93,158.34,Chili Pepper
66.3,60.79,103.15,Chili Pepper
64.61,78.75,145.09,Chili Pepper
42.11,17.16,186.6,Chili Pepper
79.89,49.74,104.55,Chili Pepper
43.32,95.54,134.05,Chili Pepper
62.39,36.59,104.0,Chili Pepper
58.77,27.13,56.74,Chili Pepper
72.83,78.43,160.89,Chili Pepper
21.88,63.76,144.55,Chili Pepper
58.03,65.73,134.59,Chili Pepper
68.94,-12.53,187.13,Chili Pepper
36.68,36.54,140.2,Chili Pepper
71.36,107.52,76.23,Chili Pepper
41.93,30.56,106.66,Chili Pepper
40.86,9.8,92.39,Chili Pepper
47.31,-22.47,96.48,Chili Pepper
33.31,28.86,131.28,Chili Pepper
66.63,-4.12,149.16,Chili Pepper
20.49,91.0,118.91,Chili Pepper
109.11,1.1,145.06,Chili Pepper
56.91,60.86,114.46,Chili Pepper
84.46,62.09,83.56,Chili Pepper
35.14,82.71,152.75,Chili Pepper
60.58,76.53,170.07,Chili Pepper
74.66,59.78,130.31,Chili Pepper
45.58,102.04,115.86,Chili Pepper
103.59,37.93,158.17,Chili Pepper
45.92,67.04,135.79,Chili Pepper
10.68,77.87,161.64,Chili Pepper
83.63,36.39,100.83,Chili Pepper
91.93,41.23,126.6,Chili Pepper
-22.09,71.34,79.03,Chili Pepper
66.74,35.13,150.12,Chili Pepper
100.64,91.64,89.99,Chili Pepper
74.76,29.2,42.06,Chili Pepper
55.73,40.51,140.63,Chili Pepper
65.22,108.36,145.75,Chili Pepper
53.33,72.72,150.1,Chili Pepper
52.38,32.49,120.73,Chili Pepper
108.68,53.96,130.51,Chili Pepper
31.69,24.13,132.49,Chili Pepper
78.91,56.55,136.25,Chili Pepper
70.39,105.24,137.77,Chili Pepper
70.19,48.95,134.34,Chili Pepper
53.14,26.47,166.45,Chili Pepper
64.58,69.66,90.13,Chili Pepper
37.57,91.76,88.23,Chili Pepper
44.68,69.37,86.35,Chili Pepper
38.82,40.67,85.37,Chili Pepper
87.11,54.94,130.2,Chili Pepper
93.49,106.18,107.09,Chili Pepper
94.37,107.03,139.72,Chili Pepper
108.64,125.04,117.66,Chili Pepper
17.09,67.42,165.13,Chili Pepper
96.02,50.13,149.73,Chili Pepper
57.16,33.55,107.24,Chili Pepper
51.51,70.69,109.16,Chili Pepper
25.97,42.36,158.47,Chili Pepper
44.26,53.7,125.55,Chili Pepper
32.11,59.14,69.35,Chili Pepper
39.84,56.19,81.95,Chili Pepper
58.19,53.63,44.86,Chili Pepper
42.42,35.18,104.38,Chili Pepper
49.14,89.2,109.39,Chili Pepper
59.7,42.29,145.88,Chili Pepper
63.18,19.13,102.63,Chili Pepper
155.77,61.77,148.44,Chili Pepper
62.57,77.68,127.11,Chili Pepper
74.72,22.44,164.75,Chili Pepper
53.18,42.46,124.56,Chili Pepper
14.6,97.16,145.61,Chili Pepper
54.26,109.81,177.24,Chili Pepper
92.2,31.85,88.61,Chili Pepper
86.91,52.84,108.67,Chili Pepper
66.33,70.48,101.22,Chili Pepper
94.88,43.82,81.26,Chili Pepper
53.58,93.23,103.15,Chili Pepper
103.79,52.69,110.41,Chili Pepper
51.63,10.48,147.51,Chili Pepper
42.73,1.95,109.27,Chili Pepper
-6.71,65.4,80.57,Chili Pepper
65.25,95.94,140.73,Chili Pepper
83.52,91.38,111.25,Chili Pepper
4.78,12.27,149.3,Chili Pepper
111.33,68.04,147.66,Chili Pepper
64.66,99.54,74.69,Chili Pepper
60.61,37.66,98.63,Chili Pepper
68.47,45.66,99.89,Chili Pepper
59.5,89.32,156.41,Chili Pepper
54.09,84.87,170.1,Chili Pepper
62.5,19.01,89.43,Chili Pepper
35.34,118.8,114.31,Chili Pepper
52.24,94.23,154.16,Chili Pepper
78.38,-8.85,68.8,Chili Pepper
72.19,33.28,139.33,Chili Pepper
20.04,27.32,139.91,Chili Pepper
49.78,19.87,115.42,Chili Pepper
65.4,90.29,105.06,Chili Pepper
59.4,40.59,158.37,Chili Pepper
51.61,36.34,84.46,Chili Pepper
46.83,68.91,181.53,Chili Pepper
98.92,30.99,159.52,Chili Pepper
58.33,64.46,91.28,Chili Pepper
58.56,74.35,78.2,Chili Pepper
27.75,25.3,110.18,Chili Pepper
74.99,72.4,139.72,Chili Pepper
56.2,31.98,97.63,Chili Pepper
65.7,38.41,105.75,Chili Pepper
1.7,26.9,115.45,Chili Pepper
55.64,72.6,113.05,Chili Pepper
126.83,68.3,172.85,Chili Pepper
81.32,30.22,137.51,Chili Pepper
68.54,41.74,134.13,Chili Pepper
61.28,99.72,128.17,Chili Pepper
59.44,41.18,116.3,Chili Pepper
140.55,24.72,169.29,Chili Pepper
35.07,47.29,80.86,Chili Pepper
-14.83,9.43,150.44,Chili Pepper
126.9,23.13,168.62,Chili Pepper
46.93,77.29,85.44,Chili Pepper
9.18,44.83,155.52,Chili Pepper
0.67,33.46,123.53,Chili Pepper
50.55,36.85,108.27,Chili Pepper
84.84,91.85,58.72,Chili Pepper
36.94,10.47,109.26,Chili Pepper
34.75,57.8,107.52,Chili Pepper
21.12,43.55,174.31,Chili Pepper
101.28,6.9,123.46,Chili Pepper
47.92,105.65,133.51,Chili Pepper
76.64,81.53,126.12,Chili Pepper
22.65,45.24,139.1,Chili Pepper
46.38,24.85,115.26,Chili Pepper
41.46,42.74,100.35,Chili Pepper
21.58,-1.71,115.31,Chili Pepper
55.73,32.98,117.13,Chili Pepper
48.35,50.54,140.22,Chili Pepper
42.26,38.3,118.5,Chili Pepper
37.94,43.03,122.94,Chili Pepper
109.87,14.92,101.63,Chili Pepper
48.91,27.89,182.99,Chili Pepper
67.49,45.86,186.23,Chili Pepper
45.92,21.62,118.27,Chili Pepper
81.53,51.75,133.16,Chili Pepper
7.11,33.42,158.65,Chili Pepper
76.74,73.25,90.05,Chili Pepper
83.53,122.72,140.65,Chili Pepper
10.09,26.9,98.58,Chili Pepper
54.27,56.39,111.32,Chili Pepper
73.19,31.94,109.0,Chili Pepper
101.49,37.33,153.62,Chili Pepper
37.86,67.5,122.19,Chili Pepper
-1.98,68.05,125.27,Chili Pepper
36.44,30.23,136.55,Chili Pepper
102.97,-0.12,83.93,Chili Pepper
34.96,46.13,97.51,Chili Pepper
90.39,46.6,119.6,Chili Pepper
83.55,64.57,136.02,Chili Pepper
25.77,-17.28,111.84,Chili Pepper
45.75,37.69,125.63,Chili Pepper
1.67,91.87,147.93,Chili Pepper
31.16,-17.86,138.89,Chili Pepper
75.76,69.24,78.89,Chili Pepper
88.86,40.07,103.55,Chili Pepper
93.8,66.54,113.54,Chili Pepper
46.46,77.79,81.41,Chili Pepper
35.69,41.11,101.87,Chili Pepper
90.54,102.95,117.63,Chili Pepper
88.84,53.82,134.32,Chili Pepper
114.16,33.14,134.17,Chili Pepper
84.33,17.83,134.57,Chili Pepper
33.24,43.77,112.48,Chili Pepper
42.26,61.12,127.18,Chili Pepper
20.97,13.72,91.67,Chili Pepper
66.31,42.58,99.58,Chili Pepper
24.52,74.34,62.25,Chili Pepper
45.15,82.38,156.87,Chili Pepper
69.28,85.98,147.11,Chili Pepper
16.16,30.07,152.82,Chili Pepper
112.38,41.85,92.59,Chili Pepper
45.0,84.06,114.69,Chili Pepper
94.48,43.09,167.89,Chili Pepper
62.74,0.21,109.65,Chili Pepper
45.9,53.37,125.67,Chili Pepper
47.98,24.39,154.17,Chili Pepper
83.5,76.72,120.06,Chili Pepper
42.89,115.62,179.24,Chili Pepper
160.19,53.92,139.78,Chili Pepper
77.82,53.59,175.46,Chili Pepper
72.13,49.07,100.16,Chili Pepper
75.47,20.77,104.34,Chili Pepper
24.88,29.21,69.34,Chili Pepper
5.23,63.86,111.75,Chili Pepper
56.86,23.56,123.17,Chili Pepper
34.79,38.65,135.56,Chili Pepper
66.72,58.95,151.35,Chili Pepper
13.83,55.46,155.51,Chili Pepper
121.38,46.89,126.74,Chili Pepper
46.15,21.14,106.65,Chili Pepper
81.9,37.83,143.19,Chili Pepper
56.1,12.72,140.07,Chili Pepper
60.87,39.86,125.85,Chili Pepper
22.64,23.26,104.05,Chili Pepper
-10.41,43.89,138.06,Chili Pepper
73.81,21.34,126.99,Chili Pepper
57.6,41.9,105.94,Chili Pepper
100.29,102.03,72.13,Chili Pepper
33.82,43.82,128.4,Chili Pepper
93.78,22.1,122.02,Chili Pepper
109.07,24.67,76.93,Chili Pepper
2.01,62.14,139.64,Chili Pepper
78.16,100.23,123.9,Chili Pepper
64.28,25.22,128.55,Chili Pepper
42.0,33.8,126.5,Chili Pepper
37.06,79.57,164.43,Chili Pepper
76.88,47.89,113.44,Chili Pepper
54.95,54.81,114.54,Chili Pepper
61.52,50.64,165.56,Chili Pepper
62.17,50.19,137.05,Chili Pepper
76.43,47.85,91.26,Chili Pepper
61.21,82.45,96.34,Chili Pepper
121.89,54.69,91.65,Chili Pepper
68.91,40.86,79.07,Chili Pepper
74.91,1.12,107.15,Chili Pepper
73.5,57.82,95.05,Chili Pepper
61.24,73.91,176.12,Chili Pepper
21.25,30.41,115.57,Chili Pepper
76.33,47.88,121.63,Chili Pepper
15.61,90.76,129.1,Chili Pepper
96.9,94.52,166.77,Chili Pepper
52.47,80.2,107.03,Chili Pepper
52.93,50.9,176.48,Chili Pepper
59.19,58.85,43.32,Chili Pepper
94.48,67.19,114.98,Chili Pepper
57.68,39.08,115.62,Chili Pepper
78.89,107.79,144.6,Chili Pepper
11.31,57.2,132.73,Chili Pepper
49.41,48.52,130.96,Chili Pepper
73.16,36.41,120.77,Chili Pepper
95.06,45.07,112.43,Chili Pepper
59.49,60.48,119.6,Chili Pepper
109.69,38.49,147.51,Chili Pepper
47.12,115.32,137.55,Chili Pepper
91.64,59.88,143.14,Chili Pepper
55.03,31.54,110.83,Chili Pepper
106.04,28.63,121.07,Chili Pepper
50.86,104.58,133.73,Chili Pepper
105.72,39.36,137.6,Chili Pepper
9.05,84.19,113.62,Chili Pepper
76.59,24.87,136.94,Chili Pepper
83.58,46.1,115.22,Chili Pepper
32.2,126.86,98.66,Chili Pepper
58.03,56.26,173.22,Chili Pepper
37.0,37.54,161.02,Chili Pepper
59.44,47.48,155.5,Chili Pepper
99.39,23.6,137.11,Chili Pepper
61.42,51.21,94.58,Chili Pepper
38.96,31.52,105.84,Chili Pepper
82.28,44.36,134.61,Chili Pepper
53.89,117.13,79.88,Chili Pepper
24.16,53.71,133.5,Chili Pepper
36.43,30.33,121.64,Chili Pepper
81.04,53.33,166.41,Chili Pepper
114.75,33.04,132.17,Chili Pepper
12.81,48.08,120.79,Chili Pepper
58.52,12.65,101.64,Chili Pepper
12.29,51.72,144.74,Chili Pepper
104.39,27.17,97.43,Chili Pepper
50.21,49.38,34.07,Chili Pepper
48.21,-4.45,63.96,Chili Pepper
10.36,57.12,113.15,Chili Pepper
57.53,66.54,154.99,Chili Pepper
50.56,31.74,113.9,Chili Pepper
16.35,36.57,138.05,Chili Pepper
143.54,86.99,115.86,Chili Pepper
52.02,47.07,90.86,Chili Pepper
94.8,92.07,170.93,Chili Pepper
49.83,52.68,87.76,Chili Pepper
78.59,76.68,91.92,Chili Pepper
75.93,36.4,109.7,Chili Pepper
36.63,89.24,147.48,Chili Pepper
29.53,57.93,128.89,Chili Pepper
47.02,11.23,138.81,Chili Pepper
84.36,25.5,132.62,Chili Pepper
37.93,25.84,148.34,Chili Pepper
82.87,80.06,69.31,Chili Pepper
67.21,75.95,92.71,Chili Pepper
86.43,137.09,151.46,Chili Pepper
84.22,35.94,68.52,Chili Pepper
85.64,67.77,130.93,Chili Pepper
34.68,37.63,109.63,Chili Pepper
33.0,28.79,68.06,Chili Pepper
22.84,73.78,120.24,Chili Pepper
43.2,30.78,117.04,Chili Pepper
81.94,41.65,182.03,Chili Pepper
36.98,96.44,126.04,Chili Pepper
41.44,91.24,122.34,Chili Pepper
-6.63,61.83,133.29,Chili Pepper
98.76,57.55,121.8,Chili Pepper
90.82,31.07,125.75,Chili Pepper
75.72,72.29,137.86,Chili Pepper
47.76,-25.61,153.33,Chili Pepper
53.32,9.07,133.78,Chili Pepper
72.23,22.35,112.63,Chili Pepper
48.72,68.02,96.03,Chili Pepper
99.17,34.89,69.78,Chili Pepper
38.14,52.51,105.33,Chili Pepper
46.13,-1.62,148.01,Chili Pepper
87.42,66.69,139.11,Chili Pepper
63.88,53.76,135.11,Chili Pepper
93.12,67.55,108.88,Chili Pepper
108.31,43.85,134.07,Chili Pepper
39.27,87.19,156.05,Chili Pepper
-15.31,40.47,72.74,Chili Pepper
87.71,53.07,159.72,Chili Pepper
89.14,21.23,121.12,Chili Pepper
43.74,40.39,161.3,Chili Pepper
134.58,64.43,138.18,Chili Pepper
49.67,112.49,108.62,Chili Pepper
82.72,88.8,59.38,Chili Pepper
56.78,31.72,66.65,Chili Pepper
-2.03,61.95,90.28,Chili Pepper
80.68,21.27,91.99,Chili Pepper
37.4,31.85,87.16,Chili Pepper
-30.04,26.23,118.45,Chili Pepper
43.26,-22.08,118.11,Chili Pepper
37.53,54.93,125.17,Chili Pepper
32.6,55.85,146.04,Chili Pepper
18.24,92.31,73.51,Chili Pepper
99.15,22.59,151.94,Chili Pepper
64.4,54.98,59.34,Chili Pepper
62.1,14.63,108.38,Chili Pepper
22.63,76.95,74.28,Chili Pepper
57.04,66.63,82.97,Chili Pepper
27.95,33.5,166.97,Chili Pepper
57.63,23.17,91.19,Chili Pepper
71.64,60.62,157.17,Chili Pepper
79.27,26.24,86.14,Chili Pepper
79.47,64.26,153.08,Chili Pepper
120.41,18.96,87.77,Chili Pepper
52.85,37.14,122.24,Chili Pepper
121.56,78.82,94.03,Chili Pepper
48.81,53.03,160.17,Chili Pepper
75.73,7.47,105.89,Chili Pepper
102.09,2.53,136.63,Chili Pepper
84.74,92.37,90.3,Chili Pepper
143.56,50.43,166.43,Chili Pepper
34.61,72.71,117.01,Chili Pepper
81.67,58.86,88.57,Chili Pepper
15.94,24.94,138.82,Chili Pepper
10.96,53.79,108.18,Chili Pepper
27.44,101.72,160.5,Chili Pepper
-23.27,14.12,81.16,Chili Pepper
112.47,41.14,84.67,Chili Pepper
127.54,51.54,118.63,Chili Pepper
52.44,81.72,132.45,Chili Pepper
52.56,46.63,86.41,Chili Pepper
87.28,57.7,91.13,Chili Pepper
80.5,63.57,122.95,Chili Pepper
36.62,48.27,114.16,Chili Pepper
62.37,25.55,108.13,Chili Pepper
103.74,32.24,97.13,Chili Pepper
33.45,59.47,49.91,Chili Pepper
103.39,21.14,141.65,Chili Pepper
42.12,0.65,147.79,Chili Pepper
92.33,72.56,97.53,Chili Pepper
32.91,57.15,147.28,Chili Pepper
131.25,35.84,110.82,Chili Pepper
29.12,103.81,134.94,Chili Pepper
44.94,91.97,179.02,Chili Pepper
33.29,6.73,131.98,Chili Pepper
111.32,28.41,107.28,Chili Pepper
43.64,102.87,170.46,Chili Pepper
76.02,70.07,83.24,Chili Pepper
99.91,97.63,53.38,Chili Pepper
74.54,3.39,125.0,Chili Pepper
41.58,80.04,126.44,Chili Pepper
49.35,83.84,180.29,Chili Pepper
57.6,-13.3,129.8,Chili Pepper
83.44,44.48,139.03,Chili Pepper
61.68,24.98,137.87,Chili Pepper
8.84,80.96,120.08,Chili Pepper
71.63,30.85,110.45,Chili Pepper
36.88,27.65,160.06,Chili Pepper
64.12,32.39,144.54,Chili Pepper
51.34,41.95,128.13,Chili Pepper
20.07,79.53,141.31,Chili Pepper
52.0,64.12,74.58,Chili Pepper
66.14,29.59,155.67,Chili Pepper
92.42,48.01,103.99,Chili Pepper
43.95,93.24,73.65,Chili Pepper
81.08,61.77,100.93,Chili Pepper
89.95,50.61,108.64,Chili Pepper
4.53,-8.18,102.51,Chili Pepper
31.4,37.28,97.2,Chili Pepper
81.78,49.45,125.16,Chili Pepper
62.28,52.24,102.27,Chili Pepper
93.92,153.5,118.32,Chili Pepper
26.48,37.86,169.77,Chili Pepper
39.15,44.38,105.87,Chili Pepper
69.06,60.06,84.2,Chili Pepper
108.35,30.1,77.96,Chili Pepper
71.79,56.41,160.9,Chili Pepper
7.22,41.55,91.85,Chili Pepper
53.2,36.17,68.89,Chili Pepper
30.72,102.94,106.55,Chili Pepper
129.8,23.45,85.47,Chili Pepper
39.31,76.07,85.05,Chili Pepper
80.73,42.27,103.73,Chili Pepper
61.61,77.04,98.91,Chili Pepper
-8.58,6.87,130.78,Chili Pepper
78.28,83.55,98.65,Chili Pepper
77.95,93.8,113.77,Chili Pepper
46.75,53.51,112.21,Chili Pepper
120.24,-1.07,139.99,Chili Pepper
80.54,66.17,111.13,Chili Pepper
56.91,54.45,74.38,Chili Pepper
38.09,79.68,128.77,Chili Pepper
55.92,102.53,97.62,Chili Pepper
36.76,54.35,153.19,Chili Pepper
52.74,88.73,110.04,Chili Pepper
62.36,28.44,93.36,Chili Pepper
31.55,40.69,130.65,Chili Pepper
24.93,34.42,96.56,Chili Pepper
54.02,82.66,136.08,Chili Pepper
97.21,18.6,119.47,Chili Pepper
85.81,-5.53,153.06,Chili Pepper
143.66,9.56,138.44,Chili Pepper
38.09,78.53,108.23,Chili Pepper
127.04,12.03,123.03,Chili Pepper
35.95,86.63,135.41,Chili Pepper
121.03,10.6,48.47,Chili Pepper
92.9,33.72,126.48,Chili Pepper
70.45,20.46,107.37,Chili Pepper
37.08,43.37,141.88,Chili Pepper
21.94,53.58,128.65,Chili Pepper
74.43,86.98,104.11,Chili Pepper
92.02,77.24,98.96,Chili Pepper
98.56,57.86,92.0,Chili Pepper
85.46,34.86,107.42,Chili Pepper
43.25,-0.66,144.4,Chili Pepper
52.2,7.68,62.43,Chili Pepper
36.38,53.17,99.88,Chili Pepper
25.31,-13.61,89.76,Chili Pepper
124.44,50.82,120.95,Chili Pepper
65.58,65.56,149.56,Chili Pepper
66.79,60.78,80.88,Chili Pepper
56.46,60.45,46.18,Chili Pepper
80.49,59.05,101.64,Chili Pepper
42.05,72.33,112.87,Chili Pepper
12.06,55.08,129.84,Chili Pepper
48.04,41.29,124.05,Chili Pepper
30.96,8.56,140.12,Chili Pepper
87.97,43.8,109.86,Chili Pepper
64.86,79.52,172.24,Chili Pepper
51.56,66.66,112.82,Chili Pepper
37.05,131.9,145.1,Chili Pepper
67.99,78.34,195.67,Chili Pepper
61.27,-17.02,131.02,Chili Pepper
46.07,10.85,67.97,Chili Pepper
45.08,67.29,127.31,Chili Pepper
60.08,31.57,98.9,Chili Pepper
99.76,51.05,133.71,Chili Pepper
24.29,14.38,66.11,Chili Pepper
110.81,55.52,95.6,Chili Pepper
49.81,75.57,103.5,Chili Pepper
73.53,43.71,103.21,Chili Pepper
35.09,65.85,122.11,Chili Pepper
18.15,-11.47,133.57,Chili Pepper
82.63,21.94,108.69,Chili Pepper
76.66,80.55,141.6,Chili Pepper
62.8,48.75,78.06,Chili Pepper
20.02,71.96,119.42,Chili Pepper
72.29,92.32,95.73,Chili Pepper
88.46,21.7,170.24,Chili Pepper
88.14,58.54,112.5,Chili Pepper
56.95,88.35,90.04,Chili Pepper
73.78,-19.18,148.04,Chili Pepper
48.37,106.87,107.08,Chili Pepper
112.69,-21.58,73.53,Chili Pepper
93.5,15.64,80.74,Chili Pepper
117.54,36.63,115.81,Chili Pepper
42.89,41.3,103.71,Chili Pepper
31.67,98.65,135.92,Chili Pepper
97.03,41.89,118.05,Chili Pepper
85.65,28.95,110.07,Chili Pepper
26.2,49.35,128.11,Chili Pepper
34.1,48.2,139.79,Chili Pepper
85.52,52.45,95.2,Chili Pepper
30.1,135.3,122.6,Chili Pepper
54.71,77.46,91.21,Chili Pepper
21.22,44.92,118.33,Chili Pepper
66.68,42.2,123.0,Chili Pepper
94.8,71.24,133.21,Chili Pepper
86.05,25.52,137.44,Chili Pepper
60.64,20.35,95.24,Chili Pepper
107.92,102.08,82.46,Chili Pepper
62.12,16.85,86.43,Chili Pepper
82.82,116.58,130.78,Chili Pepper
83.13,19.17,162.02,Chili Pepper
45.08,28.21,80.22,Chili Pepper
103.12,42.43,87.75,Chili Pepper
81.21,63.9,157.06,Chili Pepper
54.82,35.07,149.61,Chili Pepper
13.57,47.05,117.13,Chili Pepper
23.3,36.42,142.74,Chili Pepper
40.98,64.79,126.78,Chili Pepper
27.6,59.77,92.73,Chili Pepper
28.26,106.37,148.97,Chili Pepper
56.04,24.56,123.72,Chili Pepper
